company,year,employees_start,employees_end,new_hires,layoffs,net_change,hiring_rate_pct,attrition_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,data_quality_score
Adobe,2022,25988,29239,4810,1559,3251,18.5,6.0,17.61,-26.8,1.9,3.6,false,High,95
Adobe,2023,29239,29867,2382,1754,628,8.1,6.0,19.41,96.5,2.5,3.7,false,High,95
Adobe,2024,29867,30000,1029,896,133,3.4,3.0,21.5,35.7,2.8,4.1,true,Medium,85
Adobe,2025,30000,30500,1400,900,500,4.7,3.0,23.0,19.9,2.3,4.2,true,Medium,85
Airbnb,2009,17,20,4,1,3,23.5,5.9,0.0,-5.5,-2.6,9.3,true,Medium,85
Airbnb,2010,20,50,30,0,30,150.0,0.0,0.02,-7.1,2.7,9.6,true,Medium,85
Airbnb,2011,50,150,101,1,100,202.0,2.0,0.08,24.7,1.6,8.9,true,Medium,85
Airbnb,2012,150,400,254,4,250,169.3,2.7,0.15,-1.9,2.3,8.1,true,Medium,85
Airbnb,2013,400,700,312,12,300,78.0,3.0,0.25,-21.8,1.8,7.4,true,Medium,85
Airbnb,2014,700,1000,321,21,300,45.9,3.0,0.42,39.7,2.5,6.2,true,Medium,85
Airbnb,2015,1000,2000,1030,30,1000,103.0,3.0,0.92,-3.8,2.9,5.3,true,Medium,85
Airbnb,2016,2000,3100,1160,60,1100,58.0,3.0,1.66,39.0,1.6,4.9,true,Medium,85
Airbnb,2017,3100,4400,1393,93,1300,44.9,3.0,2.56,11.0,2.4,4.4,true,Medium,85
Airbnb,2018,4400,5300,1032,132,900,23.5,3.0,3.65,28.7,2.9,3.9,true,Medium,85
Airbnb,2019,5300,6100,959,159,800,18.1,3.0,4.81,43.6,2.3,3.7,true,Medium,85
Airbnb,2020,6100,5600,0,500,-500,0.0,8.2,3.38,93.4,-2.8,8.1,true,Medium,85
Airbnb,2021,5600,6800,1368,168,1200,24.4,3.0,5.99,78.9,5.8,5.4,true,Medium,85
Airbnb,2022,6800,6900,508,408,100,7.5,6.0,8.4,-53.3,1.9,3.6,true,Medium,85
Airbnb,2023,6900,6900,414,414,0,6.0,6.0,9.92,92.0,2.5,3.7,true,Medium,85
Airbnb,2024,6900,7200,507,207,300,7.3,3.0,11.1,58.5,2.8,4.1,true,Medium,85
Airbnb,2025,7200,7500,516,216,300,7.2,3.0,12.5,-7.9,2.3,4.2,true,Medium,85
Alphabet,2004,2567,3021,531,77,454,20.7,3.0,3.19,-10.1,3.8,5.5,false,Medium,95
Alphabet,2005,3021,5680,2749,90,2659,91.0,3.0,6.14,-10.1,3.5,5.1,false,Medium,95
Alphabet,2006,5680,10674,5164,170,4994,90.9,3.0,10.6,39.1,2.8,4.6,false,Medium,95
Alphabet,2007,10674,16805,6451,320,6131,60.4,3.0,16.59,-2.5,2.0,4.6,false,Medium,95
Alphabet,2008,16805,20222,4761,1344,3417,28.3,8.0,21.8,45.2,0.1,5.8,false,Medium,95
Alphabet,2009,20222,19835,1230,1617,-387,6.1,8.0,23.65,-24.8,-2.6,9.3,false,Medium,95
Alphabet,2010,19835,24400,5160,595,4565,26.0,3.0,29.32,18.3,2.7,9.6,false,High,95
Alphabet,2011,24400,32467,8799,732,8067,36.1,3.0,37.91,-12.1,1.6,8.9,false,High,95
Alphabet,2012,32467,53861,22368,974,21394,68.9,3.0,50.18,-7.3,2.3,8.1,false,High,95
Alphabet,2013,53861,47756,0,6105,-6105,0.0,11.3,55.52,35.6,1.8,7.4,false,High,95
Alphabet,2014,47756,53600,7276,1432,5844,15.2,3.0,66.0,27.7,2.5,6.2,false,High,95
Alphabet,2015,53600,61814,9822,1608,8214,18.3,3.0,74.99,7.6,2.9,5.3,false,High,95
Alphabet,2016,61814,72053,12093,1854,10239,19.6,3.0,90.27,41.3,1.6,4.9,false,High,95
Alphabet,2017,72053,80110,10218,2161,8057,14.2,3.0,110.86,41.3,2.4,4.4,false,High,95
Alphabet,2018,80110,98771,21064,2403,18661,26.3,3.0,136.82,-14.3,2.9,3.9,false,High,95
Alphabet,2019,98771,118899,23091,2963,20128,23.4,3.0,161.86,-18.4,2.3,3.7,false,High,95
Alphabet,2020,118899,135301,19968,3566,16402,16.8,3.0,182.53,32.4,-2.8,8.1,false,High,95
Alphabet,2021,135301,156500,25258,4059,21199,18.7,3.0,257.64,53.2,5.8,5.4,false,High,95
Alphabet,2022,156500,190234,43124,9390,33734,27.6,6.0,282.84,-38.0,1.9,3.6,false,High,95
Alphabet,2023,190234,182502,3682,11414,-7732,1.9,6.0,307.39,88.4,2.5,3.7,false,High,95
Alphabet,2024,182502,183323,6296,5475,821,3.4,3.0,350.0,-5.5,2.8,4.1,true,Medium,85
Alphabet,2025,183323,185000,7176,5499,1677,3.9,3.0,380.0,6.3,2.3,4.2,true,Medium,85
Amazon,2001,9000,7800,0,1200,-1200,0.0,13.3,3.12,-7.5,1.0,4.7,false,Medium,95
Amazon,2002,7800,7500,324,624,-300,4.2,8.0,3.93,13.7,1.7,5.8,false,Medium,95
Amazon,2003,7500,7800,525,225,300,7.0,3.0,5.26,-26.9,2.8,6.0,false,Medium,95
Amazon,2004,7800,9000,1434,234,1200,18.4,3.0,6.92,-13.2,3.8,5.5,false,Medium,95
Amazon,2005,9000,12000,3270,270,3000,36.3,3.0,8.49,-9.3,3.5,5.1,false,Medium,95
Amazon,2006,12000,13900,2260,360,1900,18.8,3.0,10.71,-18.4,2.8,4.6,false,Medium,95
Amazon,2007,13900,17000,3517,417,3100,25.3,3.0,14.84,43.8,2.0,4.6,false,Medium,95
Amazon,2008,17000,20700,5060,1360,3700,29.8,8.0,19.17,-28.7,0.1,5.8,false,Medium,95
Amazon,2009,20700,24300,5256,1656,3600,25.4,8.0,24.51,32.7,-2.6,9.3,false,Medium,95
Amazon,2010,24300,33700,10129,729,9400,41.7,3.0,34.2,-7.6,2.7,9.6,false,High,95
Amazon,2011,33700,56200,23511,1011,22500,69.8,3.0,48.08,41.7,1.6,8.9,false,High,95
Amazon,2012,56200,88400,33886,1686,32200,60.3,3.0,61.09,-0.6,2.3,8.1,false,High,95
Amazon,2013,88400,117300,31552,2652,28900,35.7,3.0,74.45,36.9,1.8,7.4,false,High,95
Amazon,2014,117300,154100,40319,3519,36800,34.4,3.0,88.99,-2.8,2.5,6.2,false,High,95
Amazon,2015,154100,230800,81323,4623,76700,52.8,3.0,107.01,14.1,2.9,5.3,false,High,95
Amazon,2016,230800,341400,117524,6924,110600,50.9,3.0,135.99,13.2,1.6,4.9,false,High,95
Amazon,2017,341400,566000,234842,10242,224600,68.8,3.0,177.87,8.8,2.4,4.4,false,High,95
Amazon,2018,566000,647500,98480,16980,81500,17.4,3.0,232.89,19.9,2.9,3.9,false,High,95
Amazon,2019,647500,798000,169925,19425,150500,26.2,3.0,280.52,-10.9,2.3,3.7,false,High,95
Amazon,2020,798000,1298000,523940,23940,500000,65.7,3.0,386.06,94.5,-2.8,8.1,false,High,95
Amazon,2021,1298000,1608000,348940,38940,310000,26.9,3.0,469.82,72.4,5.8,5.4,false,High,95
Amazon,2022,1608000,1541000,29480,96480,-67000,1.8,6.0,514.0,-52.6,1.9,3.6,false,High,95
Amazon,2023,1541000,1525000,76460,92460,-16000,5.0,6.0,575.0,42.8,2.5,3.7,false,High,95
Amazon,2024,1525000,1556000,76750,45750,31000,5.0,3.0,620.0,42.7,2.8,4.1,true,Medium,85
Amazon,2025,1556000,1540000,30680,46680,-16000,2.0,3.0,670.0,-2.9,2.3,4.2,true,Medium,85
Apple,2001,8568,9600,1717,685,1032,20.0,8.0,5.36,-8.8,1.0,4.7,false,Medium,95
Apple,2002,9600,10200,1368,768,600,14.2,8.0,5.74,38.4,1.7,5.8,false,Medium,95
Apple,2003,10200,10900,1006,306,700,9.9,3.0,6.21,33.6,2.8,6.0,false,Medium,95
Apple,2004,10900,12100,1527,327,1200,14.0,3.0,8.28,44.4,3.8,5.5,false,Medium,95
Apple,2005,12100,14800,3063,363,2700,25.3,3.0,13.93,-10.9,3.5,5.1,false,Medium,95
Apple,2006,14800,17787,3431,444,2987,23.2,3.0,19.32,7.0,2.8,4.6,false,Medium,95
Apple,2007,17787,21600,4346,533,3813,24.4,3.0,24.01,44.0,2.0,4.6,false,Medium,95
Apple,2008,21600,32000,12128,1728,10400,56.1,8.0,32.48,29.0,0.1,5.8,false,Medium,95
Apple,2009,32000,34300,4860,2560,2300,15.2,8.0,36.54,23.2,-2.6,9.3,false,Medium,95
Apple,2010,34300,46600,13329,1029,12300,38.9,3.0,65.23,-22.9,2.7,9.6,false,High,95
Apple,2011,46600,60400,15198,1398,13800,32.6,3.0,108.25,-27.3,1.6,8.9,false,High,95
Apple,2012,60400,72800,14212,1812,12400,23.5,3.0,156.51,-4.5,2.3,8.1,false,High,95
Apple,2013,72800,80300,9684,2184,7500,13.3,3.0,170.91,-17.2,1.8,7.4,false,High,95
Apple,2014,80300,92600,14709,2409,12300,18.3,3.0,182.8,-15.4,2.5,6.2,false,High,95
Apple,2015,92600,110000,20178,2778,17400,21.8,3.0,233.72,14.4,2.9,5.3,false,High,95
Apple,2016,110000,116000,9300,3300,6000,8.5,3.0,215.64,-18.6,1.6,4.9,false,High,95
Apple,2017,116000,123000,10480,3480,7000,9.0,3.0,229.23,13.1,2.4,4.4,false,High,95
Apple,2018,123000,132000,12690,3690,9000,10.3,3.0,265.6,16.2,2.9,3.9,false,High,95
Apple,2019,132000,137000,8960,3960,5000,6.8,3.0,260.17,12.7,2.3,3.7,false,High,95
Apple,2020,137000,147000,14110,4110,10000,10.3,3.0,274.52,93.1,-2.8,8.1,false,High,95
Apple,2021,147000,154000,11410,4410,7000,7.8,3.0,365.82,50.3,5.8,5.4,false,High,95
Apple,2022,154000,164000,19240,9240,10000,12.5,6.0,394.33,-31.3,1.9,3.6,false,High,95
Apple,2023,164000,161000,6840,9840,-3000,4.2,6.0,383.29,109.9,2.5,3.7,false,High,95
Apple,2024,161000,164000,7830,4830,3000,4.9,3.0,391.0,14.8,2.8,4.1,true,Medium,85
Apple,2025,164000,166000,6920,4920,2000,4.2,3.0,416.2,-5.7,2.3,4.2,true,Medium,85
Block,2010,42,50,9,1,8,21.4,2.4,0.02,7.6,2.7,9.6,true,Medium,85
Block,2011,50,100,51,1,50,102.0,2.0,0.06,35.6,1.6,8.9,true,Medium,85
Block,2012,100,300,203,3,200,203.0,3.0,0.2,-19.3,2.3,8.1,true,Medium,85
Block,2013,300,500,209,9,200,69.7,3.0,0.55,28.3,1.8,7.4,true,Medium,85
Block,2014,500,800,315,15,300,63.0,3.0,0.85,14.4,2.5,6.2,true,Medium,85
Block,2015,800,1300,524,24,500,65.5,3.0,1.27,-11.2,2.9,5.3,true,Medium,85
Block,2016,1300,2000,739,39,700,56.8,3.0,1.71,6.7,1.6,4.9,true,Medium,85
Block,2017,2000,2900,960,60,900,48.0,3.0,2.21,12.3,2.4,4.4,true,Medium,85
Block,2018,2900,3500,687,87,600,23.7,3.0,3.3,19.6,2.9,3.9,true,Medium,85
Block,2019,3500,4500,1105,105,1000,31.6,3.0,4.71,18.7,2.3,3.7,true,Medium,85
Block,2020,4500,6500,2135,135,2000,47.4,3.0,9.5,56.8,-2.8,8.1,true,Medium,85
Block,2021,6500,8500,2195,195,2000,33.8,3.0,17.66,78.1,5.8,5.4,true,Medium,85
Block,2022,8500,13000,5010,510,4500,58.9,6.0,17.53,-53.8,1.9,3.6,true,Medium,85
Block,2023,13000,12000,0,1000,-1000,0.0,7.7,21.32,106.4,2.5,3.7,true,Medium,85
Block,2024,12000,12500,860,360,500,7.2,3.0,23.5,48.3,2.8,4.1,true,Medium,85
Block,2025,12500,13000,875,375,500,7.0,3.0,25.0,22.2,2.3,4.2,true,Medium,85
Intel,2001,86100,83400,4188,6888,-2700,4.9,8.0,26.54,-10.1,1.0,4.7,false,Medium,95
Intel,2002,83400,78700,1972,6672,-4700,2.4,8.0,26.76,-9.0,1.7,5.8,false,Medium,95
Intel,2003,78700,79700,3361,2361,1000,4.3,3.0,30.14,43.6,2.8,6.0,false,Medium,95
Intel,2004,79700,85000,7691,2391,5300,9.6,3.0,34.21,48.9,3.8,5.5,false,Medium,95
Intel,2005,85000,99900,17450,2550,14900,20.5,3.0,38.83,-22.5,3.5,5.1,false,Medium,95
Intel,2006,99900,94100,0,5800,-5800,0.0,5.8,35.38,32.0,2.8,4.6,false,Medium,95
Intel,2007,94100,86300,0,7800,-7800,0.0,8.3,38.33,-23.1,2.0,4.6,false,Medium,95
Intel,2008,86300,83900,4504,6904,-2400,5.2,8.0,37.59,-4.6,0.1,5.8,false,Medium,95
Intel,2009,83900,79800,2612,6712,-4100,3.1,8.0,35.13,-4.3,-2.6,9.3,false,Medium,95
Intel,2010,79800,82500,5094,2394,2700,6.4,3.0,43.62,22.9,2.7,9.6,false,High,95
Intel,2011,82500,100100,20075,2475,17600,24.3,3.0,53.99,-6.0,1.6,8.9,false,High,95
Intel,2012,100100,105000,7903,3003,4900,7.9,3.0,53.34,35.3,2.3,8.1,false,High,95
Intel,2013,105000,107600,5750,3150,2600,5.5,3.0,52.71,14.4,1.8,7.4,false,High,95
Intel,2014,107600,106700,2328,3228,-900,2.2,3.0,55.87,-13.0,2.5,6.2,false,High,95
Intel,2015,106700,107300,3801,3201,600,3.6,3.0,55.36,20.6,2.9,5.3,false,High,95
Intel,2016,107300,106000,1919,3219,-1300,1.8,3.0,59.39,-2.4,1.6,4.9,false,High,95
Intel,2017,106000,102700,0,3300,-3300,0.0,3.1,62.76,-3.0,2.4,4.4,false,High,95
Intel,2018,102700,107400,7781,3081,4700,7.6,3.0,70.85,9.3,2.9,3.9,false,High,95
Intel,2019,107400,110800,6622,3222,3400,6.2,3.0,71.97,33.5,2.3,3.7,false,High,95
Intel,2020,110800,110600,3124,3324,-200,2.8,3.0,77.87,27.3,-2.8,8.1,false,High,95
Intel,2021,110600,121100,13818,3318,10500,12.5,3.0,79.02,18.4,5.8,5.4,false,High,95
Intel,2022,121100,131900,18066,7266,10800,14.9,6.0,63.05,-20.9,1.9,3.6,false,High,95
Intel,2023,131900,124800,814,7914,-7100,0.6,6.0,54.23,80.2,2.5,3.7,false,High,95
Intel,2024,124800,116500,0,8300,-8300,0.0,6.7,54.2,29.8,2.8,4.1,true,Medium,85
Intel,2025,116500,110000,0,6500,-6500,0.0,5.6,55.0,26.9,2.3,4.2,true,Medium,85
LinkedIn,2004,42,50,9,1,8,21.4,2.4,0.0,-5.1,3.8,5.5,false,Medium,95
LinkedIn,2005,50,80,31,1,30,62.0,2.0,0.01,-20.8,3.5,5.1,false,Medium,95
LinkedIn,2006,80,120,42,2,40,52.5,2.5,0.01,3.4,2.8,4.6,false,Medium,95
LinkedIn,2007,120,200,83,3,80,69.2,2.5,0.03,-17.3,2.0,4.6,false,Medium,95
LinkedIn,2008,200,350,166,16,150,83.0,8.0,0.08,39.4,0.1,5.8,false,Medium,95
LinkedIn,2009,350,500,178,28,150,50.9,8.0,0.12,27.4,-2.6,9.3,false,Medium,95
LinkedIn,2010,500,1000,515,15,500,103.0,3.0,0.24,-0.4,2.7,9.6,false,High,95
LinkedIn,2011,1000,2100,1130,30,1100,113.0,3.0,0.52,-18.8,1.6,8.9,false,High,95
LinkedIn,2012,2100,3458,1421,63,1358,67.7,3.0,0.97,39.2,2.3,8.1,false,High,95
LinkedIn,2013,3458,5400,2045,103,1942,59.1,3.0,1.53,40.3,1.8,7.4,false,High,95
LinkedIn,2014,5400,6897,1659,162,1497,30.7,3.0,2.22,17.0,2.5,6.2,false,High,95
LinkedIn,2015,6897,9200,2509,206,2303,36.4,3.0,2.99,-26.8,2.9,5.3,false,High,95
LinkedIn,2016,9200,10800,1876,276,1600,20.4,3.0,3.62,-12.2,1.6,4.9,false,High,95
LinkedIn,2017,10800,12500,2024,324,1700,18.7,3.0,5.5,19.1,2.4,4.4,false,High,95
LinkedIn,2018,12500,14000,1875,375,1500,15.0,3.0,6.5,7.1,2.9,3.9,false,High,95
LinkedIn,2019,14000,16000,2420,420,2000,17.3,3.0,7.5,-10.7,2.3,3.7,false,High,95
LinkedIn,2020,16000,18000,2480,480,2000,15.5,3.0,8.05,75.2,-2.8,8.1,false,High,95
LinkedIn,2021,18000,19000,1540,540,1000,8.6,3.0,10.0,42.8,5.8,5.4,false,High,95
LinkedIn,2022,19000,20500,2640,1140,1500,13.9,6.0,13.82,-31.1,1.9,3.6,false,High,95
LinkedIn,2023,20500,19500,230,1230,-1000,1.1,6.0,15.69,96.9,2.5,3.7,false,High,95
LinkedIn,2024,19500,20000,1085,585,500,5.6,3.0,17.5,-1.2,2.8,4.1,true,Medium,85
LinkedIn,2025,20000,20500,1100,600,500,5.5,3.0,19.0,6.1,2.3,4.2,true,Medium,85
Lyft,2013,85,100,17,2,15,20.0,2.4,0.01,-16.6,1.8,7.4,true,Medium,85
Lyft,2014,100,300,203,3,200,203.0,3.0,0.05,-9.0,2.5,6.2,true,Medium,85
Lyft,2015,300,700,409,9,400,136.3,3.0,0.2,25.1,2.9,5.3,true,Medium,85
Lyft,2016,700,1500,821,21,800,117.3,3.0,0.7,22.1,1.6,4.9,true,Medium,85
Lyft,2017,1500,2500,1045,45,1000,69.7,3.0,1.06,33.6,2.4,4.4,true,Medium,85
Lyft,2018,2500,3800,1375,75,1300,55.0,3.0,2.16,49.2,2.9,3.9,true,Medium,85
Lyft,2019,3800,5100,1414,114,1300,37.2,3.0,3.62,16.3,2.3,3.7,true,Medium,85
Lyft,2020,5100,4800,0,300,-300,0.0,5.9,2.36,56.1,-2.8,8.1,true,Medium,85
Lyft,2021,4800,5400,744,144,600,15.5,3.0,3.21,35.3,5.8,5.4,true,Medium,85
Lyft,2022,5400,5900,824,324,500,15.3,6.0,4.1,-20.4,1.9,3.6,true,Medium,85
Lyft,2023,5900,4500,0,1400,-1400,0.0,23.7,4.1,23.7,2.5,3.7,true,Medium,85
Lyft,2024,4500,4800,435,135,300,9.7,3.0,4.7,36.8,2.8,4.1,true,Medium,85
Lyft,2025,4800,5000,344,144,200,7.2,3.0,5.2,21.0,2.3,4.2,true,Medium,85
Meta,2006,127,150,26,3,23,20.5,2.4,0.05,41.7,2.8,4.6,false,Medium,95
Meta,2007,150,450,304,4,300,202.7,2.7,0.15,-23.8,2.0,4.6,false,Medium,95
Meta,2008,450,700,286,36,250,63.6,8.0,0.27,42.9,0.1,5.8,false,Medium,95
Meta,2009,700,1200,556,56,500,79.4,8.0,0.78,-25.6,-2.6,9.3,false,Medium,95
Meta,2010,1200,2127,963,36,927,80.2,3.0,1.97,-4.7,2.7,9.6,false,High,95
Meta,2011,2127,3200,1136,63,1073,53.4,3.0,3.71,4.7,1.6,8.9,false,High,95
Meta,2012,3200,4619,1515,96,1419,47.3,3.0,5.09,33.5,2.3,8.1,false,High,95
Meta,2013,4619,6337,1856,138,1718,40.2,3.0,7.87,-1.0,1.8,7.4,false,High,95
Meta,2014,6337,9199,3052,190,2862,48.2,3.0,12.47,-3.3,2.5,6.2,false,High,95
Meta,2015,9199,12691,3767,275,3492,41.0,3.0,17.93,19.6,2.9,5.3,false,High,95
Meta,2016,12691,17048,4737,380,4357,37.3,3.0,27.64,12.5,1.6,4.9,false,High,95
Meta,2017,17048,25105,8568,511,8057,50.3,3.0,40.65,49.4,2.4,4.4,false,High,95
Meta,2018,25105,35587,11235,753,10482,44.8,3.0,55.84,33.2,2.9,3.9,false,High,95
Meta,2019,35587,44942,10422,1067,9355,29.3,3.0,70.7,10.0,2.3,3.7,false,High,95
Meta,2020,44942,58604,15010,1348,13662,33.4,3.0,85.97,98.8,-2.8,8.1,false,High,95
Meta,2021,58604,71970,15124,1758,13366,25.8,3.0,117.93,13.1,5.8,5.4,false,High,95
Meta,2022,71970,86482,18830,4318,14512,26.2,6.0,116.61,-48.9,1.9,3.6,false,High,95
Meta,2023,86482,67317,0,19165,-19165,0.0,22.2,134.9,86.8,2.5,3.7,false,High,95
Meta,2024,67317,74067,8769,2019,6750,13.0,3.0,164.5,15.1,2.8,4.1,true,Medium,85
Meta,2025,74067,78450,6605,2222,4383,8.9,3.0,180.0,18.3,2.3,4.2,true,Medium,85
Microsoft,2001,39100,47600,11628,3128,8500,29.7,8.0,25.3,8.6,1.0,4.7,false,Medium,95
Microsoft,2002,47600,50500,6708,3808,2900,14.1,8.0,28.37,39.8,1.7,5.8,false,Medium,95
Microsoft,2003,50500,55000,6015,1515,4500,11.9,3.0,32.19,-7.5,2.8,6.0,false,Medium,95
Microsoft,2004,55000,57000,3650,1650,2000,6.6,3.0,36.84,21.4,3.8,5.5,false,Medium,95
Microsoft,2005,57000,61000,5710,1710,4000,10.0,3.0,39.79,-16.4,3.5,5.1,false,Medium,95
Microsoft,2006,61000,71000,11830,1830,10000,19.4,3.0,44.28,-15.2,2.8,4.6,false,Medium,95
Microsoft,2007,71000,79000,10130,2130,8000,14.3,3.0,51.12,48.6,2.0,4.6,false,Medium,95
Microsoft,2008,79000,91000,18320,6320,12000,23.2,8.0,60.42,3.1,0.1,5.8,false,Medium,95
Microsoft,2009,91000,93000,9280,7280,2000,10.2,8.0,58.44,33.7,-2.6,9.3,false,Medium,95
Microsoft,2010,93000,89000,0,4000,-4000,0.0,4.3,62.48,19.5,2.7,9.6,false,High,95
Microsoft,2011,89000,90000,3670,2670,1000,4.1,3.0,69.94,42.6,1.6,8.9,false,High,95
Microsoft,2012,90000,94000,6700,2700,4000,7.4,3.0,73.72,-2.0,2.3,8.1,false,High,95
Microsoft,2013,94000,99000,7820,2820,5000,8.3,3.0,77.85,8.1,1.8,7.4,false,High,95
Microsoft,2014,99000,128000,31970,2970,29000,32.3,3.0,86.83,-23.9,2.5,6.2,false,High,95
Microsoft,2015,128000,118000,0,10000,-10000,0.0,7.8,93.58,12.9,2.9,5.3,false,High,95
Microsoft,2016,118000,114000,0,4000,-4000,0.0,3.4,91.15,-13.8,1.6,4.9,false,High,95
Microsoft,2017,114000,124000,13420,3420,10000,11.8,3.0,96.57,5.3,2.4,4.4,false,High,95
Microsoft,2018,124000,131000,10720,3720,7000,8.6,3.0,110.36,22.3,2.9,3.9,false,High,95
Microsoft,2019,131000,144000,16930,3930,13000,12.9,3.0,125.84,-11.2,2.3,3.7,false,High,95
Microsoft,2020,144000,163000,23320,4320,19000,16.2,3.0,143.02,95.1,-2.8,8.1,false,High,95
Microsoft,2021,163000,181000,22890,4890,18000,14.0,3.0,168.09,15.9,5.8,5.4,false,High,95
Microsoft,2022,181000,221000,50860,10860,40000,28.1,6.0,198.27,-50.3,1.9,3.6,false,High,95
Microsoft,2023,221000,221000,13260,13260,0,6.0,6.0,211.92,27.0,2.5,3.7,false,High,95
